Title	Lyrics	Label	Positivity	Formality	Uniqueness
dear mom...	yeah, it's such a shame, when someone you were born to love, isn't that person anymore, this one's for you, i love you, but you gotta change, when you said that you would never change, was it true, do it to save all we had, would you, how could you give up, how could you do that, why did you leave me, and when you come back, spending all your time with him, you can't even see me, selfish, what you is, how you mistreated your own kids, how could you do that, i know we don't talk now, how could you turn your back on me, now i'm walkin' out, cause i didn't do anything to hurt you, gave you the best that i can and it's true, i gotta move on with out you, i should've moved on from the pain that i felt, but i choose to love you, the shit that you had, it's better to live then love you, it's better to live then love you, love you, but if your leavin' is that what you can do to your baby, cause i'm gunna' love you no matter what you were sayin', how could you turn away, and forget those sunny days, but were they the sunny days, or was it the game you played, dressed up little doll, that you've torn, it's messed up, how can you be criticizing me when you fucked up, i never made you cry, i never told a lie, that's all you do to me, so what is you right about, cause i didn't do anything to hurt you, i gave you the best that i can and it's true, i gotta move on without you, i should've moved on from the pain that i felt, but i choose to love you, the shit that you had, it's better to live then love you, it's better to live then love you, love you, was i the screw up and you were the best mom, i wasn't that perfect and you took the long road, the road is reversing, the tables are turning, i didn't deserve it, but thank god i'm learnin', i can just imagine what you're doing doing with your days, smokin' all your cares away and having a play date, to bad i found out what you were really about, i know it's good to take but momma i gotta say, that i didn't do anything to hurt you, i gave you the best that i can and it's true, i gotta move on without you, i should've moved on from the pain that i felt, but i choose to love you, the shit that you had, it's better to live then love you, don't come to me when you need help	turn your back	-0.8119653686881065	0.1646722257137298	0.255400002002716
all day sucker	i got up at six this morning and i polished up the sun, so when you woke up the sun would shine on you, raised the dawn to get the papers so when the breakfast you sat down, i could be the one that you'd say thank you to, from the first thing in the morning till the last thing in the night, every hour and every minute i'm your fool, anyway that i can please you i will try with all my might, i'm an all day sucker when it comes to you, so from morning until evening i'll be at your beg and call, i'll do anything at all that pleases you, you can wind me round your finger almost anyway at all, i'm an all day sucker when it comes to you, then today i clean your workshop, wash the car and mow the lawn, and i even shine the laces in your shoes, i try hard to make you love me and it's all enough till dawn, i'm an all day sucker when it comes to you, so from morning until evening i'll be at your beg and call, i'll do anything at all that pleases you, you can wind me round your finger almost anyway at all, i'm an all day sucker when it comes to you, so from morning until evening i'll be at your beg and call, i'll do anything at all that pleases you, you can wind me round your finger almost anyway at all, i'm an all day sucker when it comes to you, i'm an all day sucker when it comes to you.	round your finger	-0.5123368799686432	-0.0117303133010864	0.2403477430343628
i'm a midnight mover	ohhh! help me!, i'm a midnight mover, all-night groover - looky here -, i'm a midnight teaser, real soul pleaser, i'm a midnight hugger, all-night lover, trust in me when you're down & out, i will always bring you out, yeah, yeah! oh yeah!, ohhh!, i'm a midnight teaser, real soul pleaser, i'm a midnight rover, after lookin' things over, i'm a midnight creeper, all-day sleeper - looky here -, trust in me when you're down & out, i will always bring you out, ohhh! ohhh!, mover, groover, teaser, hugger, walker, talker, lover, walker, midnight mover - ohhh!, got to be a midnight mover - ohhh, got to be a midnight mover - ohhh, got to be a midnight mover.		0.4389209449291229	-0.226173847913742	0.2910466194152832
the war is over	"i watch the days rush by me like a river, i shouldn't wait, but i'm scared to touch the water, i let the phone ring, why won't you believe me, i wait for silence, takes a lot not to answer, all i have to say is, you don't deserve me, you don't deserve me, i'm finally walking away, cause you don't deserve me, and you're not worthy, and i won't let you pull me in, because i know you're gonna win, but the war is over, and i won't fight you anymore, i never been so sure, cause the war is over, i used to let you paint 'em pretty pictures, you got me caught up with your you're my girl forever"""	watch the days	-0.9889376601204276	-0.011698305606842	0.3479818999767303
maybe tomorrow	any grown-up ought to know better than to be here, but it's so hard to steer clear, when i'm around you, got no business, showing up where i don't belong, we both know it's wrong, i might live to regret this, for not walking away, may be going to hell but not today, right now i'm in heaven, heaven knows i won't stay, hate myself in the morning but not today, maybe tomorrow but not today, this could hit the top of the list of mistakes that i have made, i know i'm gonna pay but i can't help it, i can deal with the consequences somewhere down the line, but now is not the time, i might live to regret this, for not walking away, may be going to hell but not today, right now i'm in heaven, heaven knows i won't stay, hate myself in the morning but not today, maybe tomorrow but not today	got no business	-0.986937684006989	-0.0376175642013549	0.1278501749038696
hollow	slip back in my heart, just slip back in my. hollow, i've been so empty without you, i'd follow you to the grave if you ask me, there's something 'bout how you see the world, and all it's been through, its beauty never leaves your side, hollow, i've been so empty without you, i'd follow you to the grave if you ask me, there's something 'bout how you see the world, and all it's been through, its beauty never leaves your side, sweet thing you know i'm following, your eyes, your eyes, morning never looked so bright, 'fore you were mine, 'fore you were mine, this hollow heart i dug, for you to step inside, hoping you'd stay the night, hoping you'd treat me right, oooh you were mine, you were mine, you were mine, you were, hollow, i've been so empty without you, i'd follow you to the grave if you ask me, there's something 'bout how you see the world, and all it's been through, its beauty never leaves your side, hollow, i've been so empty without you, hollow, i've been so empty without you, you know i'm poised, to take all of your pain, to me it's all the same, just tell me what to say, you've flown far, forgot about the past, you think you're gonna crack, think it's all your fault, just slip back in my heart, just slip back in my.	see the world	-0.7307752519845963	-0.0851607918739318	-0.1441764831542968
spray for me	i done be on some holy water shit, the heroes, there's so much shit be goin' on, i just stay out of the way, shoutout to kp for that beat, i say i hope that they don't play with me, they know i keep the k with me, i'll make a nigga spray for me, for real, i hope they don't plan on takin' me, no, you won't end up facin' me, 'cause i'ma make you lay down with the steel, i had dreams of my opps chasin' me, i woke up tryna spray the heat, and that's when i realized the shit was real, bitch, you could stay the fuck away from me, 'cause i don't need no snakes with me, don't let 'em bite you twice, you might not live, two guns around my waist, i'm on that up shit, lookin' for them pussy niggas movin' on that fuck shit, all i'll do is call chapo, and he pull up quick, fuck.38s, two twenty-threes, that's what we put you up with, it's up, bitch, he got me fucked up, he think he gon' play on me, put the stick all in his shit and let that nigga taste on it, we lay on 'em, if he come out, we tryna put the k on 'em, we wait all night, but it's on sight, might pull a broad day on 'em, was in the trap before the rap, them pussy boys know where i'm at, i call 'em back because this strap be tryna make you take a nap, i don't say cap, 'cause i don't cap, i rather blow off a bitch cap, creep from the back, i'm in all black, he might just catch a heart attack, i say i hope that they don't play with me, they know i keep the k with me, i'll make a nigga spray for me, for real, i hope they don't plan on takin' me, no, you won't end up facin' me, 'cause i'ma make you lay down with the steel, i had dreams of my opps chasin' me, i woke up tryna spray the heat, and that's when i realized the shit was real, bitch, you could stay the fuck away from me, 'cause i don't need no snakes with me, don't let 'em bite you twice, you might not live, and i swear i don't know what's safe for me, these pussy niggas be hatin' me, but they did that before i signed the deal, through all the shit it, it ain't no breakin' me, 'cause that's the shit that's makin' me, bitch, i was taught to get it how i live, no talkin' when we bump heads, stand on the shit you sayin', don't do no plan, tryna step on you and your mans, cap the shit, no ban, and i ain't gotta use my hands, the last nigga who ran, bitch, they gon' make me drop them bands, i say i hope that they don't play with me, they know i keep the k with me, i'll make a nigga spray for me, for real, i hope they don't plan on takin' me, no, you won't end up facin' me, 'cause i'ma make you lay down with the steel, i had dreams of my opps chasin' me, i woke up tryna spray the heat, and that's when i realized the shit was real, bitch, you could stay the fuck away from me, 'cause i don't need no snakes with me, don't let 'em bite you twice, you might not live, oh-oh, i'm tryna spray my shit for real, you know they plannin' on takin' me, but man's about to spray for me, but man's about to spray for me, for real, and i was really chasin' cheese, yeah, i was really chasin' cheese, and i was in the trap before the deal, i don't know why they hatin' me, but i'ma keep the k with me, we run up in your face with the steel	keep the k	0.1676340103149414	0.4585554897785187	-0.2146737277507782
lonely town	he's the mayor of lonely town, population one, population one, staring at hole in the ground, staring at the sun, and i'm starting to feel, like he might be real, like he's something i might become, marching for mayor of lonely town, population one, see the mayor of lonely town, standing in the square, at the county fair, shouting his message out, but there's no one there, oh there, and the silence surrounds but, he's lost in the sound, of their army of fifes and drums, marching for mayor of lonely town, population one, shabadabadabadaba, if you want to go to lonely town, just pay the fare, babada, babada, babada, unless you're with me, then you'll get in for free, 'cause baby, i know the mayor, dadadoh, no one seems to want to be new, they all run away, but deep inside of soul you can have, caught in a nutshell, not yet, well the mayor of lonely town, tucking into bed, oh, what's inside his head, visions of sugarplums, and a loneliness, oh yes, now we've all gotta be, what we want to be, but that doesn't seem quite so fun, to be the mayor of lonely town, population, staring at hole in the ground, population, mayor of lonely town, population one, aahhh	staring at hole	-0.5180626660585403	-0.2658509910106659	0.553993821144104
complicated	uh, alright, here we go, one time for your mind, your body and your soul, every time that i rhyme, you know i'm in control, alright. here we go, and we've been here for so many years, still it seems as if you're not there, every time i talk, you turn away, isn't dad an obligation to care?, and we said, and we've been here for so many years, so many years still it seems, so complicated, you're overrated, you're complicated, this feeling is love, well i came in the door,yeah i said it before, i never let the stress get me down no more, giving thanks to the lord, you know i pray every day, give shouts to my peeps and this is what we say, and we said, you left us one little room with a black and white tv, one eviction notice and a bill for therapy, you're living all alone you're like a dog without a bone, i said, you're living all alone because you left us all at home, well you had a second chance but you threw it all away, a fourth, and fifth, and sixth but that was yesterday, now you're sitting at a bar your just drowning in your tears, you're lonely in the corner while everybody cheers, and we said,	let the stress	-0.5886461436748505	0.3529152274131775	0.4302598536014557
ass drop	goddamn, goddamn, how the hell you get all that ass in them pants?, how you drinkin' and you ain't got no glass?, now you came in here and you ain't got no man, what, damn, to me you look perfect, bend that ass over; let me see how you work it, poppin' and shakin', get on your knees hit the dirt, girl i go so deep in that pussy while he just hitting the surface, what is you sayin'?, drop it down on it, made me get a couple bands drop it down on it, make you get a couple friends drop it down on it, turn around drop it down, drop it down on it, do it for a real nigga, do it for a boss, do somethin' for a boss, do somethin' for a real nigga, go and do somethin' for a boss, do somethin' for a boss, do somethin', you got a ass make a nigga wanna buy a ring, you got a ass make a nigga spend everything, you got a ass make a nigga wanna buy a ring, you got a ass make a nigga spend everything, if you've got an ass like the girls in the videos, go and bring it my way, ass so big it could swallow up a stripper pole, i ain't playin', no i ain't playin', bust it down on me i need it, throw it a boss wanna see it, just give me a call and i'll beat it, i'll be all where your seat is, mary jane got me moving slow, i blow that by the, uh, got a fat ass go 'head, shake that shit,	get a couple	-0.8059455901384354	0.1106552183628082	0.4586895108222961
